Name,Jun_16,Jun_17,Jun_18,Jun_19,Jun_20,Jun_21,Jun_22,Avg_demand
Zone 5,"9892.50","9912.13","9990.58","10089.67","10078.23","10014.73","10065.96","10006.26"
Zone 6,"3552.17","3538.20","3542.97","3574.75","3492.44","3488.46","3533.78","3531.82"
Zone 7,"5140.82","4911.77","4733.91","5102.11","4924.69","4979.15","5221.18","5001.95"
Zone 8,"5511.54","5457.42","5457.42","5298.14","5771.44","5298.14","5313.36","5443.92"
Zone 9,"2460.24","2532.94","2533.11","2511.02","2531.07","2506.55","2539.50","2516.35"
Zone 10,"8299.65","9267.85","9175.55","8532.14","8646.29","8646.29","8646.29","8744.87"
